Health Facility Name,Address,pincode,landline_number,Facility Type
Kumbakonam,"['No Dist Hqrs Hospital', 'College Road', 'Kumbakonam', 'Tamil Nadu', 'Thanjavur', 'Kumbakonam Mpty']",612001.0,4352430501,District Hospital
Needamangalam,"['Government Hospital', 'Periyar Street', 'Needamangalam', 'Tamil Nadu', 'Thiruvarur', 'Mannargudi']",614404.0,04367-260218,Sub-District Hospital
Kodavasal,"['Govt Hospital', 'Main Road Street', 'Kodavasal', 'Tamil Nadu', 'Thiruvarur']",612601.0,436626214,Sub-District Hospital
Valangaiman,"['Gh Building', 'Nadu Agraharam', 'Valangaiman', 'Tamil Nadu', 'Thiruvarur']",612804.0,4374264459,Sub-District Hospital
Nannilam,"['Government Hospital', 'Main Road', 'Nannilam', 'Tamil Nadu', 'Thiruvarur']",610105.0,04366 230459,Sub-District Hospital
Dh Kanker,"['Komal Dev Disstrict Hospital', 'Main Road In Front Post Office', 'Kanker', 'Chhattisgarh', 'Kanker']",494334.0,7868241214,District Hospital
Ch Pakhanjure,"['Civil Hospital', 'Civil Hospital Building', 'Pakhnjure Dist Kanker', 'Chhattisgarh', 'Kanker', 'Pakhanjur', 'Koyalibeda']",494776.0,7844231123,Sub-District Hospital
Brammadesam,"['Primary Health Centre Brammadesam', 'Kallamparai', 'Brammadesam', 'Tamil Nadu', 'Erode', 'Bhavani', 'Andhiyur']",638501.0,04256-250028,SubCentre
Keelvani,"['Health Sub Centre Keelvani', 'Ponniya Nagar', 'Keelvani', 'Tamil Nadu', 'Erode', 'Bhavani', 'Andhiyur']",638502.0,04256-250028,SubCentre
Chennimalai,"['Park Road', 'Chennimalai', 'Tamil Nadu', 'Erode', 'Perundurai']",638051.0,04294-250300,Community Health Center
A Sembulichampalaaym,"['Primary Health Centre A Sembulichampalayam', 'Opp Kalangiyam Finance', 'Ganapathy Kaatur', 'Tamil Nadu', 'Erode', 'Bhavani', 'Andhiyur']",638501.0,04256-250028,SubCentre
Coimbatore Medl College Hosp Mch,"['Cmch Hospital', 'Trichy Road Near', 'Coimbatore', 'Tamil Nadu', 'Coimbatore South', 'Madukkarai']",641018.0,0422- 2301395,Medical Colleges Hospital
Pollachi,"['Govt Hospital Pollachi', 'Udumalpet Road', 'Pollachi', 'Tamil Nadu', 'Coimbatore', 'Pollachi (S)']",642001.0,04259-229322,District Hospital
Sanwalila,"['Sanwalila', 'Rajasthan', 'Jaipur ', 'Chaksu']",303901.0,0,SubCentre
Mettupalayam,"['Ooty Road Mettupalayam', 'Mettupalayam', 'Tamil Nadu', 'Coimbatore', 'Karamadai']",641301.0,04254- 222027,Sub-District Hospital
Valparai,"['Kumaran Road', 'Valparai Town', 'Valparai', 'Tamil Nadu', 'Coimbatore', 'Anamalai']",642127.0,04253-235202,Sub-District Hospital
Thondamuthur,"['Narasipuram Rd', 'Thondamuthur', 'Tamil Nadu', 'Coimbatore', 'Coimbatore South']",641109.0,0422-2617979,Sub-District Hospital
Colonypudur,"['Aug', 'Colony Pudur', 'Seeliyur', 'Tamil Nadu', 'Coimbatore', 'Mettupalayam', 'Karamadai']",641103.0,4254284089,SubCentre
Tholampalayam,"['A', 'Tholampalayam Road', 'Seeliyur', 'Tamil Nadu', 'Coimbatore', 'Mettupalayam', 'Karamadai']",641301.0,425284089,SubCentre
K N Halli,"['K N Halli Phc', 'K N Halli', 'Tamil Nadu', 'Dharmapuri', 'Dharmapuri Mpty']",636706.0,4342291528,Primary Health Centre
Rajathoppu,"['Rajathoppu Phc', 'Rajathoppu', 'Tamil Nadu', 'Dharmapuri', 'Dharmapuri Mpty']",636704.0,4342291528,Primary Health Centre
Chinnankuppam,"['Chinnankuppam', 'Tamil Nadu', 'Dharmapuri', 'Harur']",636903.0,04346-242300,Primary Health Centre
Chellamudi,"['Phc Pakka Building', 'Chellamudi', 'Tamil Nadu', 'Dharmapuri', 'Pennagaram']",636810.0,256677,Primary Health Centre
