drug,sideeffects
"1, 25(OH)2D3","Skin disorder, Myalgia, Calcification metastatic, Urine analysis abnormal, Vomiting"
17-hydroxyprogesterone,"Cervical incompetence, Infection, Complication of pregnancy, Pulmonary embolism, Premature labour"
18F-FDG,"Hypersensitivity, Hyperglycaemia, Dermatitis, Oedema, Pruritus"
18F-flutemetamol,"Hypersensitivity, Flushing, Dyspnoea, Chest discomfort, Nausea"
2-hydroxysuccinaldehyde,"Vascular occlusion, Hypertension, Dermatitis, Body temperature increased, Deep vein thrombosis"
4-AP,"Anxiety, Confusional state, Angiopathy, Immune system disorder, Mediastinal disorder"
4-PBA,"Arrhythmia, Syncope, Nervous system disorder, Constipation, Blood potassium decreased"
4-methylpyrazole,"Feeling drunk, Nystagmus, Injection site inflammation, Abdominal pain, Hypotension"
5-ASA,"Micturition urgency, Photosensitivity reaction, Lichenoid keratosis, Hirsutism, Thrombosis"
5-FU,"Pneumonia, Cerebrovascular disorder, Optic nerve disorder, Anaphylactic shock, Paraesthesia"
5-aminolevulinic,"Pain, Brain neoplasm, Amylase increased, Nausea, Sunburn"
5-aza-2'-deoxycytidine,"Cough, Pharyngitis, Colonic abscess, Cellulitis, Hypoalbuminaemia"
5-azacytidine,"Breath sounds abnormal, Eye haemorrhage, Cardiac murmur, Fatigue, Pneumothorax"
5-fluorocytosine,"Ventricular dysfunction, Hearing impaired, Leukopenia, Hypokalaemia, Toxic epidermal necrolysis"
5-methyltetrahydrofolate,Sensitisation
6-mercaptopurine,"Sepsis, Vomiting, Arthralgia, Oral disorder, Malabsorption"
6-thioguanine,"Blood uric acid increased, Varices oesophageal, Hepatic necrosis, Pancytopenia, Thrombocytopenia"
68Ga,"Hypothermia, Nausea, Leukopenia, Neoplasm malignant, Body temperature decreased"
8-MOP,"Pain of skin, Urticaria, Dry skin, Body temperature increased, Headache"
A77,"Pruritus, Pain, Skin disorder, Blood creatinine increased, Alopecia"
AC1O3HA7,"Meningitis, Meningitis aseptic, Vomiting"
ACTH(1-39,"Osteonecrosis, Affect lability, Vomiting, Alkalosis hypokalaemic, Papilloedema"
ALX,"Influenza, Infection, Headache, Blood uric acid increased, Constipation"
AMD3100,"Injection site reaction, Dizziness, Discomfort, Haemorrhage, Rash"
AN2690,"Ingrowing nail, Skin irritation, Application site rash, Application site erythema, Application site exfoliation"
APAs,"Body temperature increased, Anaemia, Leukopenia, Dizziness, Dermatitis"
Abarelix,"Constipation, Diarrhoea, Blood triglycerides increased, Oedema peripheral, Nausea"
Almeta,"Skin striae, Folliculitis, Infection, Miliaria, Dermatitis"
Anidulafungin,"Eye pain, Feeling abnormal, Bundle branch block, Candida infection, Pruritus generalised"
Asp-Tyr(SO3H)-Met-Gly-Trp-Met-Asp-Phe-NH2,"Diarrhoea, Hypoaesthesia, Discomfort, Sensory loss, Hypersensitivity"
Azarga,"Corneal erosion, Endophthalmitis, Blepharitis, Eyelids pruritus, Eczema eyelids"
BCNU,"Pulmonary fibrosis, Eye pain, Meningitis chemical, Abdominal pain, Urinary incontinence"
BPTI,"Coagulopathy, Atelectasis, Arrhythmia, Embolism, Ventricular tachycardia"
Benicar-HCT,"Rash, Erythema multiforme, Jaundice, Chest pain, Blood uric acid increased"
Bivalirudin,"Haemorrhage, Urinary retention, Gastrointestinal haemorrhage, Peritoneal haemorrhage, Body temperature increased"
Brolene,"Hypersensitivity, Burning sensation, Eye pain, Pain, Skin sensitisation"
Buscopan,"Urinary retention, Hypersensitivity, Dyshidrotic eczema, Dizziness, Urinary tract disorder"
CAS,"Coronary artery disease, Swelling, Gout, Rash, Toothache"
CGP,"Dysuria, Respiratory distress, Hypoaesthesia, Nasal congestion, Eye disorder"
Cancidas,"Eosinophilia, Infusion site irritation, Febrile neutropenia, Blood urine present, Infusion site erythema"
Cantril,"Mydriasis, Nervousness, Dry mouth, Anaphylactic shock, Tension"
Carfilzomib,"Body temperature increased, Multi-organ failure, Pain, Herpes virus infection, Peripheral sensory neuropathy"
Colimycin,"Vomiting, Dysphonia, Blood creatinine decreased, Dyspnoea, Paraesthesia"
D-cycloserine,"Clonic convulsion, Feeling abnormal, Cardiac failure congestive, Paresis, Neurological symptom"
D-penicillamine,"Blood alkaline phosphatase increased, Glomerulonephritis membranous, Rash erythematous, Agranulocytosis, Skin disorder"
DFMO,"Dermatitis, Flushing, Ingrown hair, Asthenia, Dermatitis"
DMSO,"Discomfort, Chemical cystitis"
Depreotide,"Headache, Gastrointestinal pain, Vomiting, Diarrhoea, Nausea"
Diane-35,"Nervous system disorder, Hypersensitivity, Abdominal pain, Breast disorder, Dermatitis"
EACA,"Necrosis, Coagulopathy, Anaphylactic shock, Syncope, Lacrimation increased"
EDTA,"Feeling abnormal, Nephropathy toxic, Paraesthesia, Discomfort, Ill-defined disorder"
Enfuvirtide,"Urethral disorder, Gastrooesophageal reflux disease, Cardiac disorder, Cellulitis, Respiratory distress"
Eptifibatide,"Cerebral infarction, Cerebral haemorrhage, Cerebral ischaemia, Cerebral haemorrhage, Congenital arterial malformation"
Estrofem,"Breast disorder, Skin disorder, Dementia, Blood pressure increased, Erythema multiforme"
FAMP,"Tumour lysis syndrome, Lymphoproliferative disorder, Proteinuria, Blood uric acid increased, Cholelithiasis"
FK463,"Erythema multiforme, Haematological malignancy, Phlebitis, Malnutrition, Swelling face"
FP-CIT,"Nausea, Hypersensitivity, Vertigo, Formication, Dizziness"
FTY720,"Blood triglycerides increased, Multiple sclerosis relapse, B-cell lymphoma, Angiopathy, Depression"
FdUrd,"Pharyngitis, Abscess, Ischaemia, Anaphylactic shock, Enteritis"
Fe(III,"Tenderness, Mediastinal disorder, Dizziness, Infestation, Musculoskeletal discomfort"
Forteo,"Haemoglobin, Malnutrition, Weight increased, Dyspepsia, Herpes zoster"
Gd-DTPA,"Urticaria, Injection site phlebitis, Abdominal pain, Bradycardia, Laryngeal oedema"
Gd-EOB-DTPA,"Gastrointestinal pain, Immune system disorder, Oedema, Akathisia, Malaise"
Ge-132,"Angina pectoris, Wheezing, Azotaemia, Hepatitis C, Hypersensitivity"
Glat,"Bladder cancer, Atrial fibrillation, Coma, Mental disorder, Infection"
Goserelin,"Anxiety, Musculoskeletal discomfort, Glucose tolerance impaired, Seborrhoeic dermatitis, Dermatitis"
HMDP,"Hypersensitivity, Nausea, Vomiting"
Histrelin,"Testicular atrophy, Arthralgia, Metrorrhagia, Drug-induced liver injury, Oedema peripheral"
Hoe,"Headache, Dizziness, Nausea, Body temperature increased, Anaphylactic shock"
Humalog,"Rhinitis, Swelling, Pain, Infusion site reaction, Infusion site erythema"
ICI,"Dyspepsia, Urticaria, Pruritus, Hepatic enzyme increased, Immune system disorder"
IdUrd,"Blepharitis, Swelling, Conjunctivitis, Eye irritation, Conjunctival hyperaemia"
Implanon,"Breast discharge, Acne, Vaginal infection, Haemorrhage, Vaginal infection"
Insulin,"Gastrointestinal tract irritation, Increased bronchial secretion, Cholelithiasis, Dermatitis bullous, Epistaxis"
K779,"Lupus-like syndrome, Dysgeusia, Coordination abnormal, Headache, Deafness"
Kaluril,"Neutropenia, Atrioventricular block complete, Headache, Vertigo, Vomiting"
L-Dmp,"Atrioventricular block, Pollakiuria, Polyuria, Enteritis, Choreoathetosis"
L-threo-DOPS,"Cardiac failure congestive, Hyperpyrexia, Myocardial ischaemia, Blood pressure increased, Headache"
LMWH,"Malaise, Hyperkalaemia, Hepatocellular injury, Anaphylactoid reaction, Skin exfoliation"
LY146032,"Hyperglycaemia, Eosinophilic pneumonia, Hyperkalaemia, Protein urine present, Musculoskeletal discomfort"
Lantus,"Bronchospasm, Bronchitis, Glycosuria, Retinal vascular disorder, Fungal skin infection"
Leuprorelin,"Confusional state, Gingivitis, Gastrointestinal disorder, Abscess, Musculoskeletal discomfort"
LiOH,"Tremor, Dental caries, Thirst, Albuminuria, Hallucination"
Lisinopril,"Breath sounds abnormal, Persistent foetal circulation, Erythema multiforme, Tinnitus, Libido decreased"
Locorten,"Sensitisation, Hypersensitivity, Burning sensation, Dermatitis, Pruritus"
Lovaza,"Rheumatoid arthritis, Large intestine polyp, Feeling abnormal, Fungal infection, Epistaxis"
Lu,"Vertigo, Gastrointestinal disorder, Bruxism, Dysgeusia, Skin disorder"
Lutalyse,"Muscle spasms, Chest pain, Infection, Asthenia, Hypertonia"
Lyxumia,"Influenza, Headache, Hypoglycaemia, Malnutrition, Anaphylactic shock"
MDV3100,"Haematoma, Asthenia, Injury, Laryngitis, Angiopathy"
MK-462,"Hypertension, Cardiovascular disorder, Wheezing, Serotonin syndrome, Urticaria"
Madopar,"Somnolence, Muscle relaxant therapy, Gastrointestinal disorder, Dizziness, Diarrhoea"
Mersyndol,"Confusional state, Immune system disorder, Agitation, Hyperhidrosis, Anaphylactic shock"
Metrodin,"Dysmenorrhoea, Acute respiratory distress syndrome, Osteoarthritis, Joint dislocation, Exomphalos"
MnDPDP,"Hypertension, Dysgeusia, Injection site discomfort, Flushing, Sepsis"
N-acetylcysteine,"Ear pain, Oedema, Face oedema, Flushing, Thinking abnormal"
N-carbamylglutamate,"Ear infection, Weight decreased, Headache, Bradycardia, Infestation"
N-methylscopolamine,"Accommodation disorder, Mydriasis, Constipation, Cycloplegia, Nervousness"
NSC,"Anaemia, Thrombocytopenia, Body temperature increased, Pruritus, Blood creatinine increased"
NTBC,"Sepsis, Hepatic function abnormal, Headache, Conjunctivitis, Hepatic neoplasm"
Nafarelin,"Cystitis, Musculoskeletal discomfort, Pruritus, Convulsion, Malnutrition"
NovoLog,"Dermatitis atopic, Glycosuria, Gestational diabetes, Hepatitis C, Weight increased"
NuvaRing,"Dyspareunia, Headache, Urinary tract infection, Depression, Fibroadenoma of breast"
Nuvocid,"Urticaria, Wheezing, Pruritus, Connective tissue disorder, Extravasation"
Octreotide,"Oropharyngeal discomfort, Endocrine disorder, Flatulence, Asthenia, Dysuria"
Oestrogen,"Dermatitis, Injury, Colitis ischaemic, Abdominal distension, Blood pressure increased"
Optison,"Haemoglobin, Muscle spasms, Bronchospasm, Skin disorder, Loss of consciousness"
Org,"Hydronephrosis, Ovarian hyperstimulation syndrome, Erythema, Torticollis, Foetal death"
PCI-32765,"Angiopathy, Contusion, Hyperuricaemia, Neuropathy peripheral, Arthralgia"
PEP005,"Nervous system disorder, Application site scab, Erythema, Conjunctivitis, Application site vesicles"
PGE1,"Regurgitation, Anaemia, Hypoaesthesia, Carbon dioxide increased, Respiratory depression"
PGE2,"Angiopathy, Shock, Vaginal infection, Vaginismus, Arrhythmia"
Paroven,"Flatulence, Abdominal pain upper, Abdominal pain, Headache, Pruritus"
Photofrin,"Tachycardia, Diarrhoea, Odynophagia, Scab, Fungal infection"
Prednefrin,"Cataract subcapsular, Intraocular pressure increased, Rash, Eye penetration, Headache"
Promacta,"Insomnia, Musculoskeletal chest pain, Laryngeal pain, Malnutrition, Acute myocardial infarction"
Protirelin,"Brain injury, Dizziness, Breast enlargement, Hyperhidrosis, Hypersensitivity"
Prussian,Constipation
Refludan,"Retroperitoneal haemorrhage, Immune system disorder, Gingival bleeding, Ventricular tachycardia, Shock"
Revasc,"Cystitis noninfective, Infection, Skin disorder, Haematuria, Thrombosis"
Romidepsin,"Multi-organ failure, Acute respiratory distress syndrome, Hyperbilirubinaemia, Dermatitis exfoliative, Chills"
S-benzoylmercaptoacetyltriglycine,"Nausea, Convulsion, Chills, Dermatitis, Pruritus"
SOM230,"Pancreatitis, Lipase increased, Headache, Cholelithiasis, Haemoglobin"
SU5416,"Photosensitivity reaction, Arthralgia, Nasopharyngitis, Transverse sinus thrombosis, Optic neuritis"
Sativex,"Vomiting, Stomatitis, Ventricular extrasystoles, Stomatitis, Syncope"
Saxagliptin,"Pruritus, Skin disorder, Gastritis, Malnutrition, Angioedema"
Signifor,"Dizziness, Injection site reaction, Abdominal pain, Gamma-glutamyltransferase increased, Glycosylated haemoglobin increased"
SonoVue,"Acute coronary syndrome, Asthenia, Sinus headache, Mental disorder, Anaphylactoid reaction"
Stalevo,"Urinary tract infection, Glossodynia, Cough, Loss of consciousness, Alopecia"
Supremon,"Skin disorder, Nausea, Vision blurred, Breast atrophy, Vascular purpura"
Symlin,"Asthenia, Injection site reaction, Cough, Musculoskeletal discomfort, Pancreatitis"
T-A2-3,"Dizziness, Pruritus, Anaphylactic shock, Erythema multiforme, Rash"
TMC207,"Nervous system disorder, Musculoskeletal discomfort, Hepatic cirrhosis, Aspartate aminotransferase increased, Cerebrovascular accident"
TMC435,"Nausea, Photosensitivity reaction, Dermatitis, Fatigue, Dyspnoea"
TPGS,"Pruritus, Skin disorder, Rash, Abdominal pain, Gastrointestinal disorder"
TR-700,"Eye disorder, Vitreous floaters, Angiopathy, Diarrhoea, Headache"
Tadenan,"Rash, Application site reaction, Dry skin, Headache, Dermatitis"
Terlipressin,"Respiratory failure, Cardiac disorder, Pallor, Menopausal symptoms, Cyanosis"
Timentin,"Vomiting, Thrombocytopenia, Urticaria, Thrombophlebitis, Anaphylactic shock"
TlCl,"Chills, Pruritus, Anaphylactic shock, Dermatitis, Conjunctivitis"
Triphasil,"Affect lability, Mental disorder, Dermatitis, Headache, Angioedema"
Triptorelin,"Cough, Bronchitis, Erectile dysfunction, Blood alkaline phosphatase increased, Gastrointestinal pain"
Trisequens,"Tenderness, Hepatobiliary disease, Blood pressure increased, Vascular purpura, Breast cancer"
UDCA,"Epistaxis, Thrombosis, Drug interaction, Haemoglobin, Pulmonary fibrosis"
VACV,"Musculoskeletal discomfort, Pain, Altered state of consciousness, Cytomegalovirus infection, Mediastinal disorder"
Vallergan,"Obstruction, Hypotension, Tremor, Skin sensitisation, Pallor"
Vancocine,"Azotaemia, Abdominal pain, Vertigo, Anaphylactic shock, Tinnitus"
Vitrum,"Abdominal pain, Vasculitis, Loss of consciousness, Haemorrhage, Paraesthesia"
Westcort,"Eczema, Erythema, Skin striae, Telangiectasia, Miliaria"
ZnCl2,"Anaemia, Blood copper decreased, Copper deficiency"
Zyprexa,"Angioedema, Abdominal distension, Diabetic hyperglycaemic coma, Blood prolactin increased, Urinary incontinence"
abacavir,"Ill-defined disorder, Lactic acidosis, Hypersensitivity, Myalgia, Hyperamylasaemia"
abacavir-lamivudine,"Acute respiratory distress syndrome, Thrombocytopenia, Blood disorder, Immune system disorder, Anaphylactic shock"
abiraterone,"Connective tissue disorder, Haematuria, Multiple fractures, Hypertriglyceridaemia, Infestation"
acamprosate,"Insomnia, Vaginal inflammation, Hypoaesthesia, Abscess, Shock"
acarbose,"Diarrhoea, Intestinal obstruction, Constipation, Jaundice, Vomiting"
acebutolol,"Dyspepsia, Rhinitis, Mediastinal disorder, Affect lability, Xerosis"
acenocoumarol,"Abdominal symptom, Melaena, Haemobilia, Haemoglobin, Body temperature increased"
acetaminophen,"Dysuria, Flushing, Eructation, Asthma, Pemphigoid"
acetate,"Acidosis, Haematuria, Hypernatraemia, Pain, Pain"
acetazolamide,"Agranulocytosis, Ill-defined disorder, Agitation, Anaphylactic shock, Osteomalacia"
acetohydroxamic,"Ill-defined disorder, Dermatitis, Feeling hot, Nervousness, Anaemia"
acetylcholine,"Corneal decompensation, Flushing, Bradycardia, Corneal opacity, Corneal oedema"
acipimox,"Discomfort, Asthenia, Feeling abnormal, Ill-defined disorder, Urticaria"
acitretin,"Breast pain, Conjunctivitis, Nail disorder, Hyperlipidaemia, Neuropathy peripheral"
aclidinium,"Dysphonia, Diarrhoea, Dry mouth, Bronchospasm paradoxical, Urethral disorder"
actinomycin,"Vomiting, Hepatitis, Venoocclusive disease, Folliculitis, Erythema multiforme"
acyclovir,"Renal failure acute, Ataxia, Discomfort, Photosensitivity reaction, Instillation site pain"
adapalene,"Angioedema, Skin exfoliation, Dermatitis, Dermatitis atopic, Eyelid oedema"
adefovir,"Hepatobiliary disease, Back pain, Nephropathy toxic, Hepatitis B e antigen positive, Nephropathy toxic"
adenosine,"Loss of consciousness, Dyspnoea, Injection site reaction, Ventricular tachycardia, Coronary artery disease"
afatinib,"Conjunctival irritation, Alopecia, Cough, Dermatitis, Disease progression"
agomelatine,"Hypomania, Gastrointestinal pain, Vision blurred, Somnolence, Infection"
albendazole,"Intracranial pressure increased, Urticaria, Nausea, Aplastic anaemia, Pancytopenia"
alcaftadine,"Eye pruritus, Ocular hyperaemia, Pain, Nasopharyngitis, Headache"
alclometasone,"Miliaria, Infection, Dermatitis, Pruritus, Dermatitis contact"
alendronate,"Muscle spasms, Erythema, Dyspepsia, Malaise, Hypocalcaemia"
alfentanil,"Immune system disorder, Gastrointestinal disorder, Pruritus, Hyperhidrosis, Visual impairment"
alfuzosin,"Skin disorder, Ill-defined disorder, Bronchitis, Connective tissue disorder, Malaise"
aliskiren,"Hepatic failure, Urethral disorder, Cough, Dizziness, Blood creatinine increased"
allopurinol,"Abdominal pain, Haemoglobin, Pancreatitis haemorrhagic, Leukocytosis, Pericarditis"
almotriptan,"Sinusitis, Visual impairment, Musculoskeletal discomfort, Ischaemia, Eye disorder"
alogliptin,"Hypoglycaemia, Upper respiratory tract infection, Urticaria, Serum sickness, Pancreatitis"
alosetron,"Discomfort, Ulcer, Jaundice, Polyuria, Confusional state"
alpha-methyl-p-tyrosine,"Confusional state, Eosinophilia, Dysuria, Anaemia, Headache"
alprazolam,"Lethargy, Epistaxis, Ill-defined disorder, Jaundice, Mental disorder"
alvimopan,"Urinary tract disorder, Urinary retention, Hypokalaemia, Constipation, Back pain"
amantadine,"Hypotension, Stupor, Urinary incontinence, Nasal dryness, Pathological gambling"
ambrisentan,"Syncope, Infection, Flushing, Malnutrition, Sperm concentration decreased"
amcinonide,"Folliculitis, Infection, Dermatitis, Telangiectasia, Cataract subcapsular"
amifostine,"Vomiting, Dizziness, Dermatitis, Erythema multiforme, Ill-defined disorder"
amikacin,"Nephropathy toxic, Tremor, Paraesthesia, Body temperature increased, Vomiting"
amiloride,"Orthostatic hypotension, Haemoglobin, Disturbance in sexual arousal, Nasal congestion, Feeling abnormal"
aminoglutethimide,"Decreased appetite, Hepatotoxicity, Myalgia, Tachycardia, Neutropenia"
aminophylline,"Shock, Agitation, Sinus tachycardia, Ventricular extrasystoles, Haematemesis"
amiodarone,"Haemolytic anaemia, Bone marrow granuloma, Organising pneumonia, Sleep disorder, Phlebitis"
amisulpride,"Menstrual disorder, Insomnia, Abdominal pain, Vaginal inflammation, Bradycardia"
amitriptyline,"Ventricular tachycardia, Ataxia, Vision blurred, Gynaecomastia, Tardive dyskinesia"
amlexanox,"Liver function test abnormal, Paraesthesia, Gastrointestinal disorder, Oropharyngeal discomfort, Aphthous stomatitis"
amlodipine,"Bradycardia, Rash, Diarrhoea, Musculoskeletal discomfort, Gynaecomastia"
ammonia,"Infection, Fluid overload, Body temperature increased, Pain, Extravasation"
ammonium,"Rash, Dermatitis, Erythema, Dry skin, Pain"
amobarbital,"Anxiety, Hallucination, Hypoventilation, Headache, Bradycardia"
amorolfine,"Burning sensation, Dermatitis contact, Nail discolouration, Onychoclasis, Type IV hypersensitivity reaction"
amoxapine,"Rash, Galactorrhoea, Coordination abnormal, Increased appetite, Disturbance in attention"
amoxicillin,"Cholestasis, Rash erythematous, Agitation, Urticaria, Eosinophilia"
amphetamine,"Hypersomnia, Visual impairment, Mydriasis, Confusional state, Tremor"
amphotericin,"Convulsion, Dermatitis bullous, Atrial fibrillation, Wheezing, Tension"
ampicillin,"Thrombocytopenia, Rash, Glossitis, Tongue discolouration, Rash"
amprenavir,"Breast enlargement, Decreased appetite, Mental disorder, Rhabdomyolysis, Pruritus"
amsacrine,"Hypotension, Confusional state, Vomiting, Blood uric acid increased, Haemoglobin"
anagrelide,"Convulsion, Dermatitis, Photosensitivity reaction, Pericardial effusion, Colitis"
anastrozole,"Malaise, Hepatic pain, Hypertonia, Menopausal symptoms, Weight decreased"
anthracycline,"Shock, Cardiomyopathy, Electrocardiogram change, Arrhythmia, Viral infection"
apixaban,"Liver function test abnormal, Application site haemorrhage, Muscle haemorrhage, Blood urine, Menorrhagia"
apomorphine,"Constipation, Pathological gambling, Chest pain, Angina pectoris, Musculoskeletal discomfort"
apraclonidine,"Vasodilation procedure, Paraesthesia, Blepharospasm, Dysgeusia, Eye discharge"
apremilast,"Gastrooesophageal reflux disease, Malnutrition, Dermatitis, Frequent bowel movements, Diarrhoea"
aprepitant,"Haematuria, Constipation, Gastrointestinal pain, Pruritus, Confusional state"
